Város;Megye;Lakosság (fő);Terület (km²);Tszf. Magasság;cimerFajl;cimerUrl
Kecskemét;Bács-Kiskun;109 450;322,57;102;Coa_Hungary_Town_Kecskemét.svg;https://hu.wikipedia.org/wiki/Kecskem%C3%A9t#/media/F%C3%A1jl:Coa_Hungary_Town_Kecskem%C3%A9t.svg
Miskolc;Borsod-Abaúj-Zemplén;143 502;236,68;131;HUN_Miskolc_Címer.svg;https://hu.wikipedia.org/wiki/Miskolc#/media/F%C3%A1jl:HUN_Miskolc_C%C3%ADmer.svg
Nagykanizsa;Zala;42 502;148,4;-;HUN_Nagykanizsa_Címer.svg;https://hu.wikipedia.org/wiki/Nagykanizsa#/media/F%C3%A1jl:HUN_Nagykanizsa_C%C3%ADmer.svg
Nyíregyháza;Szabolcs-Szatmár-Bereg;115 359;274,54;116;HUN_Nyíregyháza_Címer.svg;https://hu.wikipedia.org/wiki/Ny%C3%ADregyh%C3%A1za#/media/F%C3%A1jl:HUN_Ny%C3%ADregyh%C3%A1za_C%C3%ADmer.svg
Pécs;Baranya;140 330;162,61;153;COA_Hungary_Town_Pécs.svg;https://hu.wikipedia.org/wiki/P%C3%A9cs#/media/F%C3%A1jl:COA_Hungary_Town_P%C3%A9cs.svg
Salgótarján;Nógrád;30 910;102,96;-;HUN_Salgótarján_Címer.svg;https://hu.wikipedia.org/wiki/Salg%C3%B3tarj%C3%A1n#/media/F%C3%A1jl:HUN_Salg%C3%B3tarj%C3%A1n_C%C3%ADmer.svg
Sopron;Győr-Moson-Sopron;61 589;169,04;217;Coa_Hungary_Town_Sopron.svg;https://hu.wikipedia.org/wiki/Sopron#/media/F%C3%A1jl:Coa_Hungary_Town_Sopron.svg
Szeged;Csongrád-Csanád;157 930;281;75;HUN_Szeged_Címer.svg;https://hu.wikipedia.org/wiki/Szeged#/media/F%C3%A1jl:HUN_Szeged_C%C3%ADmer.svg
Székesfehérvár;Fejér;96 024;170,89;118;https://hu.wikipedia.org/wiki/Sz%C3%A9kesfeh%C3%A9rv%C3%A1r#/media/F%C3%A1jl:HUN_Sz%C3%A9kesfeh%C3%A9rv%C3%A1r_C%C3%ADmer.svg;https://hu.wikipedia.org/wiki/Sz%C3%A9kesfeh%C3%A9rv%C3%A1r#/media/F%C3%A1jl:HUN_Sz%C3%A9kesfeh%C3%A9rv%C3%A1r_C%C3%ADmer.svg
Szekszárd;Tolna;29 707;96,28;-;HUN_Szekszárd_Címer.svg;https://hu.wikipedia.org/wiki/Szeksz%C3%A1rd#/media/F%C3%A1jl:HUN_Szeksz%C3%A1rd_C%C3%ADmer.svg
Szolnok;Jász-Nagykun-Szolnok;66 426;187,24;86;HUN_Szolnok_Címer.svg;https://hu.wikipedia.org/wiki/Szolnok#/media/F%C3%A1jl:HUN_Szolnok_C%C3%ADmer.svg
Szombathely;Vas;77 757;97,52;216;HUN_Szombathely_Címer.svg;https://hu.wikipedia.org/wiki/Szombathely#/media/F%C3%A1jl:HUN_Szombathely_C%C3%ADmer.svg
Tatabánya;Komárom-Esztergom;65 861;91,42;167;HUN_Tatabánya_Címer.svg;https://hu.wikipedia.org/wiki/Tatab%C3%A1nya#/media/F%C3%A1jl:HUN_Tatab%C3%A1nya_C%C3%ADmer.svg
Veszprém;Veszprém;56 029;126,9;266;HUN_Veszprém_Címer.svg;https://hu.wikipedia.org/wiki/Veszpr%C3%A9m#/media/F%C3%A1jl:HUN_Veszpr%C3%A9m_C%C3%ADmer.svg
Zalaegerszeg;Zala;55 152;102,42;166;HUN_Zalaegerszeg_Címer.svg;https://hu.wikipedia.org/wiki/Zalaegerszeg#/media/F%C3%A1jl:HUN_Zalaegerszeg_C%C3%ADmer.svg
Budapest;–;1 686 222;525,14;105;Coa_Hungary_Town_Budapest_big.svg;https://hu.wikipedia.org/wiki/Budapest#/media/F%C3%A1jl:Coa_Hungary_Town_Budapest_big.svg
